epoch,training_loss,validation_loss
0,2682.544227105298,562.0673048240133
1,2005.6462832450343,476.78436616036925
2,1583.6073882834025,472.53110872866364
3,1194.5257790500689,501.98924291108756
4,849.9838327484534,595.9746098819692
5,614.4414505857357,682.4288809842376
6,498.16703175567795,715.6963064108905
7,398.96312080134715,849.579217932664
8,367.4247591939016,954.0544932302927
9,295.93776033644224,1077.248121304473
10,359.4346862255259,1002.8482483880523
11,255.0552332173734,1218.655153584109
12,308.68754037607977,1146.2830338859467
13,220.78925090325447,1771.8559260806073
14,223.42380980177273,1269.7050888228562
15,185.30936872731624,1361.2117000701996
16,189.16071722935212,1170.7976042756973
17,296.2935371334182,1276.34350479149
18,190.32949908292233,1356.92898667178
19,179.01180940170002,1440.8417664604385
